Блаце|Карађорђева 4, 18420 Блаце|Иван Бургић|027/371-110|predsednik@blace.org.rs|Дејан Мијајловић|027/371-110|predsednikskupstine@blace.org.rs|Јасмина Лапчевић|027/371-110|oublace@blace.org.rs
Богатић|Мике Витомировића 1 15350 Богатић|Милан Дамњановић|015/778-6126|predsednik@bogatic.rs|Синиша Пузић|015/7786-126|sinisa.puzic@bogatic.rs|Бранко Даниловић|015/7786-126|branko.danilovic@bogatic.rs
Бојник|Трг слободе 2, 16205 Бојник|Небојша Ненадовић|016/315-0207|predsednik@bojnik.rs|Драгиша Димитријевић|016/3150-208|dragisa.dimitrijevic@bojnik.org.rs|Небојша Станковић|016/3150-208|nebojsa.stankovic@bojnik.ls.gov.rs
Бољевац|Краља Александра бр. 24, 19370 Бољевац|др Небојша Марјановић|030/463-412|predsednik@opstinaboljevac.rs|Јелена Милосављевић Радосављевић|030/463-412|skupstina@opstinaboljevac.rs|Александра Драгојевић Ђорђевић|030/463-412|nacelnikou@opstinaboljevac.rs
Бор|"Моше Пијаде 3
19210"|Александар Миликић|030/423-980|gradonacelnik@bor.rs|Драган Жикић|030/423-980|predsednik.so@bor.rs|Љубинка Јелић|030/423-255|ljubinka.jelic@bor.rs
Босилеград|ул.Георги Димитров 82, 17540 Босилеград|Владимир Захаријев|017/877-167|opstina.bosilegrad@gmail.com|Славчо Владимиров|017/877-170|svladimirov@ptt.rs|Миодраг Јакимов|017/877-337|minjo.bosilegrad@gmail.com
Брус|Краља Петра првог 120, 37220 Брус|Валентина Милосављевић|037/315-0101|predopstinebrus@mts.rs|Драгана Деспотовић|037/3150-185|dragana.despotovic@purs.gov.rs|Бобан Симић|037/3150-176|simicboban@brus.ls.gov.rs
Бујановац|Карађорђа Петровића 115, 17520 Бујановац|Нагип Арифи|017/851-013|nagiparifi@yahoo.com|Енвер Рамадани|017/851-013|enveramadani@gmail.com|Насим Реџепи|017/851-013|n.rexhepi62@gmail.com
Ваљево|Карађорђева 64, 14000 Ваљево|Лазар Гојковић|014/294-882|gradonacelnik@valjevo.org.rs|Проф. др Снежана Ракић|014/294-702|snezana.rakic@valjevo.org.rs|Небојша Петронић|014/294-878|nacelnikgu@valjevo.org.rs
Варварин|Марина Мариновића бр 38, 37260|Виолета Лутовац Ђурђевић|037/787-171|kabinet@varvarin.ls.gov.rs|Војкан Павић|037/787-171|skupstina@varvarin.ls.gov.rs|Милена Арсић Васић|037/787-171|nacelnik@varvarin.ls.gov.rs
Велика Плана|Милоша Великог 30,11320|Игор Матковић|026/516-206|predsednik@velikaplana.rs|Душан Марић|026/516-206|dusan.jojic.maric@gmail.com|Горан Тасић|026/516-206|nacelnik@velikaplana.rs
Велико Градиште|Житни трг 1, 12220 Велико Градиште|Драган Милић|012/662-120|office@velikogradiste.rs|Владимир Штрбац|012/662-120|skupstina@velikogradiste.rs|Сања Стојадиновић|012/662-124|sanja.stojadinovic@velikogradiste.rs
Владимирци|Светог Саве 34, 15225 Владимирци|Горан Зарић|015/513-137|predsednikopstine@vladimirci.org.rs|Раде Ковачевић|015/513-144|predsednikso@vladimirci.org.rs|Славица Мирковић|015/514-713|nacelnikuprave@vladimirci.org.rs
Владичин Хан|"Светосавска бр. 1
17510"|Горан Младеновић|017/390-518|predsednikopstine@vladicinhan.org.rs|Данијела Поповић|017/390-518|danijela.popovic111@gmail.com|Милош Стојановић|017/390-501|nacelnik@vladicinhan.org.rs
Власотинце|Трг ослобођења бр.12, 16210 Власотинце|Братислав Петровић|016/875-216|predsednik@vlasotince.rs|Милан Јовић|016/875-122|predsednikso@vlasotiince.org.rs|Марјан Станковић|016/875-122|nacelnik@vlasotince.org.rs
Врање|Краља Милана 1; 17500 Врање|др Слободан Миленковић|017/402-302|gradonacelnik@vranje.org.rs|др Дејан Тричковић|017/402-304|predsednikskupstine@vranje.org.rs|Душан Аритоновић|017/402-303|nacelnikgu@vranje.org.rs
Врбас|Маршала Тита 89,21460 Врбас|Предраг Ројевић|021/795-4064|predrag.rojevic@vrbas.net|Сања Жигић|021/7954-099|sanja.zigic@vrbas.rs|Ivana Krezovic|021/7954-051|ivana.krezovic@vrbas.rs
Врњачка Бања|Врњачка Бања, ул. Крушевачка бр.22|Бобан Ђуровић|036/612-627|predsednik@vrnjackabanja.gov.rs|Иван Радовић|036/612-626|predsednikso@vrnjackabanja.gov.rs|Славиша Пауновић|036/612-626|slavisa.paunovic@vrnjackabanja.gov.rs
Вршац|Трг Победе 1, 26 300 Вршац|Драгана Митровић|013/800-555|gradonacelnik@vrsac.org.rs|Предраг Мијатовић|013/835-667|pmijatovic@vrsac.org.rs|Славица Поповић|013/800-591|spopovic@vrsac.org.rs
Гаџин Хан|Ул.Милоша Обилића 42,18240 Гаџин Хан|Милисав Филиповић|018/850-112|mica.filipovic1972nis@gmail.com|Славиша Ивковић|018/850-112|slavisa.ivkovic974@gmail.com|Александар Ранђеловић|018/850-112|nacelnik@gadzinhan.rs
Голубац|Цара Лазара 15, 12223 Голубац|Небојша Мијовић|012/678-128|predsednik@golubac.org.rs|Драган Дрикић|012/678-103|office@golubac.org.rs|Владица Буљубаша|012/678-178|vladicabuljubasa@golubac.org.rs
Горњи Милановац|Таковска број 2, 32300 Горњи Милановац|Дејан Ковачевић|032/515 0042|predsednik@gornjimilanovac.ls.gov.rs|Лазар Николић|032/5150-049|predsednikso@gornjimilanovac.ls.gov.rs|Дејан Вељовић|032/5150-043|nacelnik@gornjimilanovac.ls.gov.rs
Деспотовац|Милосава Здравковића Ресавца бр.4, 35213 Деспотовац|Златко Марјановић|035/611-117|opstina@despotovac.rs|Никола Николић|035/611-117|opstina@despotovac.rs|Дамјан Крстовић|035/611-117|opstina@despotovac.rs
Димитровград|"Балканска бр. 2
18320"|Владица Димитров|010/361-100|predsednik@dimitrovgrad.rs|Зоран Ђуров|010/361-582|skupstinadimitrovgrad@gmail.com|Драган Голубов|010/361-108|nacelnik@dimitrovgrad.rs
Дољевац|Николе Тесле бр.121, 18410 Дољевац|Горан Љубић|018/4810-054|predsedenik@opstinadoljevac.rs|Дејан Смиљковић|018/4810-054|predsednikso@opstinadoljevac.rs|Гордана Цветковић|018/4810-054|nacelnik@opstinadoljevac.rs
Жабаљ|Николе Тесле 45, 21230 Жабаљ|Урош Радановић|021/210-2288|predsednik@zabalj.ls.gov.rs|Радован Чолић|021/210-22-66|skupstinaopstine@zabalj.ls.gov.rs|Стеван Деспотов|021/2102-277|nacelnik@zabalj.ls.gov.rs; nacelnik.zabalj@gmail.com
Жабари|Žabari 12374 ul Kneza Miloša 103|Jovan Lukić|012/250-130|jovan.lukic976@gmail.com|Dejan Adamović|012/250-259|adamovicdeki69@gmail.com|Nebojša Milovanović|012/250-130|nebojsa.milovanovic@zabari.org.rs
Жагубица|Трг ослобођења број 1, 12320 Жагубица|Сафет Павловић|012/7643-153|zagubica@opstinazagubica.rs|Оливера Пауљескић|012/7643-153|zagubica@opstinazagubica.rs|Смедеревка Буцкић|012/7643-153|zagubica@opstinazagubica.rs
Житиште|Цара Душана 15, 23210 Житиште|Митар Вучуревић|023/3821-306|zitiste.predsednik@gmail.com|Ивана Петрић|023/3821-304|skupstina.zitiste@gmail.com|Младен Ајдуковић|023/3822-204|zitiste.nacelnik@gmail.com
Житорађа|Топлички хероји 53, 18412 Житорађа|Иван Станојевић|027/8362-017  027/8362-004|predsednik@zitoradja.org|Небојша Стевановић|027/8362-550 локал 109|skupstina@zitoradja.org|Марко Стошић|027/8362-085|ou.nacelnik@zitoradja.org
Зајечар|"Трг ослобођења бр.1
19000"|Бошко Ничић|019/444-658|bosko.nicic@zajecar.info|Стефан Занков|019/444-653|stefan.zankov@zajecar.info|Слободан Виденовић|019/444-660|slobodan.videnovic@zajecar.info
Зрењанин|Трг слободе 10, 23101 Зрењанин|Симо Салапура|023/3150-200|gradonacelnik@grad.zrenjanin.rs; simo.salapura@grad.zrenjanin.rs|Чедомир Јањић|023/3150-202|skupstina.grada@grad.zrenjanin.rs и cedomir.janjic@grad.zrenjanin.rs|Ненад Домјесков|023/3150-202|gradska.uprava@zrenjanin.rs; nenad.domjeskov@grad.zrenjanin.rs
Ивањица|Венијамина Маринковића 1, 32250 Ивањица|Момчило Митровић|032/515-0301|momcilo.mitrovic@ivanjica.gov.rs|Владимир Бојановић|032/5150-304|v.bojanovic@yahoo.com|Бојана Главинић|032/5150-305|bojana.glavinic@ivanjica.gov.rs
Инђија|Цара Душана 1, 22320 Инђија|Владимир Гак|022/561-311|vladimir.gak@indjija.rs|Ђорђе Димић|022/561-322|djordje.dimic@indjija.rs|Александар Банић|022/561-322|aleksandar.banic@indjija.rs
Ириг|Војводе Путника 1, 22406 Ириг|Тихомир Стојаковић|022/400600|tihomir.stojakovic@gmail.com|Стеван Казимировић|022/400-600|stevankazimirovic@gmail.com|Оливер Огњеновић|022/400-600|oliver.ognjenovic@gmail.com
Јагодина|"Краља Петра I бр.6
35000"|Ратко Стевановић|035/81-50-501|gradjagodina@jagodina.org.rs|Драган Марковић|035/81-50-500|kabinet.jagodina@gmail.com|Маринко Киклић|035/81-50-509|marinko.kiklic@jagodina.rs
Кањижа|Трг Главни бр. 1, 24420 Кањижа|Роберт Фејстамер|024/4873-212|predsednik@kanjiza.rs|Роберт Лацко|024/4875-166 локал 212|laroby@kanjiza.rs|Марија Миловановић|024/4875-166 локал 220|marijam@kanjiza.rs
Кикинда|Трг српских добровољаца 12,23300 Кикинда|Никола Лукач|0230/410-105|gradonacelnik@kikinda.org.rs|Младен Богдан|0230/410-115|mladen.bogdan@kikinda.org.rs|Драгиша Михајловић|0230/410-112|dragisa.mihajlovic@kikinda.org.rs
Кладово|Краља Александра 35, 19320 Кладово|Саша Николић|019/808-066|kabinet@kladovo.org.rs|Радован Арежина|019/801-450|skupstinakladovo@gmail.com|Златко Калиновић|019/801-450|nacelnik@kladovonet.com
Кнић|Војводе Стевана Книћанина 116 34240 Кнић|Срећко Илић|034/510-109|predsednik@knic.rs|Светлана Анђелић|034/510-986|predsednikso@knic.rs|Марина Петровић|034/510-112|nacelnik@knic.rs
Књажевац|"Милоша Обилића 1
19350"|Милан Ђокић|019/733-119|milan.djokic@knjazevac.rs|Марко Стојановић|019/733-119|marko.stojanovic@knjazevac.rs|Емилија Тасић|019/733-119|emilija.tasic@knjazevac.rs
Ковачица|"Маршала Тита 50
26210"|Јарослав Хрубик|013/661-122|kabinet@kovacica.ls.gov.rs|Милан Гарашевић|013/661-122|kabinet@kovacica.ls.gov.rs|Тања Бубесков|013/661-122|tanjab@kovacica.ls.gov.rs
Ковин|ЈНА 5, 26220 Ковин|Сања Петровић|013/742-114|predsednik@kovin.org.rs|Зоран Брадањи|013/742-114|predsednik@kovin.org.rs|Јелена Чолаковић|013/742-114|jelena.colakovic@kovin.org.rs
Косјерић|Олге Грбић 10, 31260 Косјерић|Жарко Ђокић|031/781-460|predsednik@kosjeric.rs|Татјана Коковић|031/787-460|skupstina.predsednik@kosjeric.rs'|Гордана Гвозденовић|031/781-460|nacelnik.uprave@kosjeric.rs'
Коцељева|Немањина бр.74, 15220 Коцељева|Душан Илинчић|015/556-322|pred_koc@ptt.rs|Верољуб Матић|015/556-189|skupstina_1@mts.rs|Слободан Васић|015/556-322|oukoceljeva@gmail.com
Крагујевац|Трг Слободе бр.3, 34000 Крагујевац|Никола Дашић|034/306-106|gradonacelnik@kg.org.rs|Мирослав Петрашиновић|034/306-104|mpetrasinovic@kg.org.rs|Наташа Петровић|034/306-122|npetrovic@kg.org.rs
Краљево|Трг Јована Сарића број 1, 36000 Краљево| др Предраг Терзић|036/306-024|gradonacelnik@kraljevo.org|Ненад Марковић|036/306-031|nenmarko72@gmail.com|Дејан Ћајић|036/306-098|nacelnik@kraljevo.rs
Крупањ|Маршала Тита 2, 15314 Крупањ|Иван Исаиловић|015/581-101|predsednik@krupanj.org.rs|Зоран Зарић|015/581-139|predsednikskupstine@krupanj.org.rs|Милорад Симић|015/581-101|nacelnik@krupanj.org.rs
Крушевац|Газиместанска бр.1 37000 Крушевац|Јасмина Палуровић|037/414-740|palurovic.jasmina@krusevac.rs|Предраг Вукићевић|037/414-736|predrag.vukicevic@krusevac.rs|Весна Анђелић|037/414-744|vesna.andjelic@krusevac.rs
Кула|Лењинова бр.11, 25230 Кула|Дамјан Миљанић|025/722-220|kabinetpredsednika@kula.rs|Велибор Милојичић|025/722-220|velibor25223@gmail.com|Александра Гаговић|025/722-333|agagovic@kula.rs
Куршумлија|Пролетерских бригада бб, 18430 Куршумлија|Војимир Чарапић|027/381-383|predsednik@kursumlija.ls.gov.rs|Славомир Михајловић|027/381383,lokal 108|predsednikskupstine@kursumlija.ls.gov.rs|Миљан Радосављевић|027/381-383, lokal 107|nacelnik@kursumlija.ls.gov.rs
Кучево|"ул. Светог Саве бр 76
12240"|Иван Рајичић|012/852-141|rajke87@gmail.com|Бранко Кецман|012/852-141|bmkecman@gmail.com|Никола Милорадовић|012/852-141|nikolamiloradovic86@gmail.com
Лајковац|Омладински трг 1, 14224 Лајковац|Андрија Живковић|014/3133-109|opstinalajkovac@gmail.com|Ненад Џајевић|014/3433-397|skupstinska.lajkovac@gmail.com|Мирјана Ђаковић|014/3433-109|imovinsko.pravni.poslovi.lajkovac@gmail.com
Лапово|Његошева, бр.18. 34220, Лапово|Бобан Миличић|034/853-159|office@lapovo.ls.gov.rs|Мирела Раденковић|034/853-159|mirela.radenkovic@lapovo.ls.gov.rs|Никола Несторовић|034/853-941|nacelnik@lapovo.ls.gov.rs
Лебане|Цара Душана 116, 16230 Лебане|Иван Богдановић|016/843-083|predsednik@lebane.org.rs|Бобан Пејић|016/843-083|skupstina@lebane.org.rs|Тања Богдановић|016/843-710|nacelnik@lebane.org.rs
Лесковац|"Пана Ђукића 9-11
16000"|Горан Цветановић|016/200-804|gradonacelnik@gradleskovac.org|Александар Ђуровић|016/200-829|predsednik.skupstine@gradleskovac.org|Милош Цветановић|016/212-004|nacelnik.gu@gradleskovac.org
Лозница|Карађорђева 2, 15300 Лозница|Видоје Петровић|015/879-206|gradonacelnik@loznica.rs|Милена Манојловић Кнежевић|015/879-216|mmknezevic@loznica.rs|Милорад Матић|015/879-221|mmatic@loznica.rs
Лучани|"Југословенске армије број 5.
32240"|Миливоје Доловић|032/515-0600|predsednik@lucani.rs|Весна Стамболић|032/5150-613|opstinalucani.sefkabineta@lucani.rs|Срђан Гаговић|032/5150-610|nacelnik@lucani.rs
Љиг|Карађорђева 7, 14240 Љиг|Драган Лазаревић|014/3445-044|predsednik@ljig.rs|Веселин Шиљеговић|014/3445-024|veselin.siljegovic@ods.rs|Милан Јанићијевић|014/3445-044|nacelnik@ljig.rs
Љубовија|Војводе Мишића 45, 15320 Љубовија|Милан Јовановић|015/561-411|predsednik@ljubovija.rs|Горан Јосиповић|015/561-411|pred.skupstine@ljubovija.rs|Владимир Петровић|015/561-411|nacelnik@ljubovija.rs
Мајданпек|"Светог Саве ББ
19250"|Драган Поповић|030/581-240 030/583-106|predsednik@opstinamajdanpek.rs|Никола Науновић|030/581-240 030/583-106|nnaunovic@gmail.com|Љиљана Васиљевић|030/582-316|nacelnik_ou@opstinamajdanpek.rs
Мали Зворник|Краља Петра I 38, 15318 Мали Зворник|Зоран Јевтић|015/471-300|opstinamalizvornik@gmail.com|Радован Тадић|015/471-300|radovan.tadic1951@gmail.com|Маризела Андрић|015/471-300|nacenik@malizvornik.gov.ls.rs
Мали Иђош|Главна бр. 32, 24321 Мали Иђош|Марко Лазић|024/730-010|ou.maliidos@gmail.com|Јухас Балинт|024/730-010|ou.maliidos@gmail.com|Милош Жмукић|024/730-010|ou.maliidos@gmail.com
Мало Црниће|"Бајлонијева 119
12311"|Малиша Антонијевић|012/7160-848|predsednik@opstinamalocrnice.rs|Горанка Стевић|012/280-016|skupstina@opstinamalocrnice.rs|заменик начелника Драган Митић|012/280-021|uprava@opstinamalocrnice.rs
Медвеђа|Краља Милана 48, 16240 Медвеђа|Драган Кулић|016/891-138|kabinet.predsednika@medvedja.ls.gov.rs|Станко Милошевић|016/891-138|predsednik.skupstine@medvedja.ls.gov.rs|Светлана Тодоровић|016/891-138|nacelnik.ou@medvedja.ls.gov.rs
Мерошина|Цара Лазара 17,18252 Мерошина|Саша Јовановић|018/4892-034|predsednik@merosina.org.rs|Оливер Илић|018/4892-034|oliverilic282@gmail.com|Данијела Николић|018/4892-034|nacelnik@merosina.org.rs
Мионица|Војводе Мишића бр. 30, 14242|Бобан Јанковић|014/3422-270|predsednik@mionica.rs|Дарко Јевтић|014/3422-020|predsednik.skupstine@mionica.rs|Сања Јовановић|014/3422-270|nacelnik@mionica.rs
Неготин|Трг Стевана Мокрањца број 1,19300|Владимир Величковић|019/542-014|predsednik.opstine@negotin.rs|мр Милан Уруковић|019/544-000|predsednik.so@negotin.rs|Зорица Мијушковић|019/542-024|nacelnik.ou@negotin.rs
Ниш|Седми јули 2, 18105 Ниш|Драгана Сотировски|018/504-411|Gradonacelnica.Nisa@ni.rs|Бобан Џунић|018/504-422|skupstinagrada@gu.ni.rs| Марина Јанковић|018/505-511|jmarina@gu.ni.rs
Нова Варош|Карађорђева 32, 31320 Нова Варош|Радосав Васиљевић|033/621-40|opstina@novavaros.rs|Бранко Поповић|033/621-40|opstina@novavaros.rs|Мирел Рољевић|033/621-40|opstina@novavaros.rs
Нова Црња|ЈНА 110, 23218 Нова Црња|Владимир Бракус|023/815-030|predsednik@novacrnja.rs|Ана Марија Лекин|023/815-031|amlekin@yahoo.com|Вања Равић|023/815-030|nacelnik@novacrnja.rs
Нови Бечеј|Жарка Зрењанина бр.8, 23272 Нови Бечеј|Саша Максимовић|023/771-135|sasa.maksimovic@novibecej.rs|Саша Максимовић|023/771-135|sasa.maksimovic@novibecej.rs|Тамара  Попов|023/771-135|tamara.popov@novibecej.rs
Нови Кнежевац|Краља Петра I Карађорђевића 1,23330|др Радован Уверић|0230/82-055 лок. 117|radovan.uveric@noviknezevac.rs|Нандор Ујхељи|0230/82-055 лок. 120|ujhelyinandor@yahoo.com|в.д. Андреа Теофанов|0230/82-055 лок. 121|andrea.teofanov@noviknezevac.rs
Нови Пазар|Стевана Немање 2, 36300 Нови Пазар|Нихат Бишевац|020/515-1308|nihat.bisevac@novipazar.org.rs|Анела Халиловић Шемсовић|020/5151-317|anela.semsovic@novipazar.org.rs|Џемил Диванефендић|020/5151-301|nacelnik@novipazar.org.rs
Нови Сад|Жарка Зрењанина 2, 21000 Нови Сад|Милан Ђурић|021/529-270|milan.djuric@novisad.rs|Јелена Маринковић Радомировић|021/523-240|kabinet.skupstina@novisad.rs|Бојан Парабуцки|021/6613-320|bojan.parabucki@novisad.rs
Опово|Бориса Кидрича 10; 26204 Опово|Милош Марков|013/681-091|kabinet@opovo.org.rs|Ненад Јосић|013/682-070|predsednik.skupstine@opovo.org.rs|Анкица Јожика|013/681-030|ankica.opovo@gmail.com
Осечина|Карађорђева 78, 14 253 Осечина|Никола Томић|014/451-158|kabinet.predsednik@osecina.com|Светозар Гачић|014/451-311|svetozargacic@gmail.com|Младенка Ненадовић|014/451-158|soosecina@mts.rs
Оџаци|Кнез Михајлова 24,25250 Оџаци|Горан Николић|025/466-088|predsednik.opstine@odzaci.rs|Горан Ђаковић|025/466-069|gorandjakovic.blue@gmail.com|Бојан Свилар|025/466-088|bojan.svilar@odzaci.rs
Панчево|Трг краља Петра I br. 2-4,26000 Панчево|Александар Стевановић |013/346-393|aleksandar.stevanovic@pancevo.rs|Тигран Киш|013/344-920|tigran.kis@pancevo.rs|Марија Петровић|013/345-417|marija.petrovic@pancevo.rs
Параћин |Томе Живановића бр. 10 Параћин 35250|Владимир Милићевић|035/563-007|vladimir_milicevic@paracin.rs|Славица Јовановић|035/563-601|slavica_jovanovic@paracin.rs|Тијана Богдановић|035/563-601|tijana_bogdanovic@paracin.rs
Петровац на Млави|Српских владара 165, 12300|Душко Нединић|012/331- 280|pr@petrovacnamlavi.rs|Миланче Аћимовић|012/331-280|predsednikso@petrovacnamlavi.rs|Горан Стефановић|012/332-722|stefanovic@petrovacnamlavi.rs
Пећинци|Слободана Бајића 5 22410|Синиша Ђокић|022/400-740|predsednik@pecinci.org|Дубравка Ковачевић Суботички|022/400-748|sekretar.so@pecinci.org|Драгана Крстић|022/400-713|nacelnik.ou@pecinci.org
Пирот|Српских владара бр.82, 18300 Пирот|Владан Васић|010/305-532|kabinet@pirot.rs|Mилена Димитријевић|010/305-594|skposlovi@pirot.rs|Саша Јовановић|010/305-524|nacelnik@pirot.rs
Пландиште|Војводе Путника 38, 26360 Пландиште|Јован Репац|013/861-033|office@plandiste-opstina.rs|Љубомир Ракић|013/861-033|ljubomir.rakic@plandiste-opstina.rs|Александра Одавић Мак|013/861-538|aleksandra.mak.odavic@plandiste-opstina.rs
Пожаревац|Дринска 2, 12000 Пожаревац|Саша Павловић|012/539-601|sasa.pavlovic@pozarevac.rs|Младен Ничић|012/539-606|mladen.nicic@pozarevac.rs|Лазар Станојевић|012/539-602|lazar.stanojevic@pozarevac.rs
Пожега|"Трг слободе 9
31210"|Ђорђе Никитовић|031/381-6401|predsednik@pozega.ls.gov.rs|Славица Симовић|031/3816-401|predsednik.skupstine@pozega.ls.gov.rs|Славица Петровић|031/3816-401|nacelnik@pozega.ls.gov.rs
Прешево|"Маршала Тита бр. 36
17523"|Shqiprim Arifi|017/7151-000|s.arifi@presevo.rs|Sami Salihu|017/7171-000|salihu003@hotmail.com|Hevzi Ramadani|017/7151-004|h.ramadani@presevo.rs
Прибој|12.јануар 108, 31330|Лазар Рвовић|033/244-5648|predsednik@priboj.rs|Борис Мрдовић|033/2445-648|predsednik.so@priboj.rs|Ђорђе Дујовић|033/2445-442|nacelnikou@priboj.rs
Пријепоље|Трг братства и јединства 1, 31300 Пријепоље|Драго Попадић|033/712-152|predsednik@prijepolje.ls.gov.rs|Изудин Шантић|033/712-250|izudinsantic@gmail.com|Миодраг Ћубић|033/712-297|uprava@prijepolje.ls.gov.rs
Прокупље|"Никодија Стојановића Татка бр. 2
18400"|Милан Аранђеловић|027/321-071;  027/323-936|kabinet@prokuplje.org.rs|Дејан Лазић|027-329-370|skupstina@prokuplje.org.rs,|Невена Јовић|027/323-936|nacelnik@prokuplje.org.rs
Ражањ|Трг Светог Саве 33, 37215 Ражањ|Добрица Стојковић|037/3841-217|kabinetpredsednikaopstine@razanj.org|Томислав Матић|037/3841-174|skupstina@razanj.org|Ивана Здравковић|037/3841-174|nacelnikopstinskeuprave@razanj.org
Рача|"Карађорђева 48
18440"|Ненад Савковић|034/751-001|predsednik.opstine@raca.rs|Бранко Радосављевић|034/751-205|predsednik.skustine@raca.rs|Јована Бетулић|034/751-003|nacelnik.uprave@raca.rs
